"Name","Type","Write","Description","Object Default","Version"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.CACCapability.CACMethod.{i}.OpClassChannels.{i}.","object(1:)","R","Table of the operating classes (selected from [Table E-4/802.11-2020]) and channel numbers in each operating class supported for this method of CAC.
This table MUST contain at least 1 entry.
At most one entry in this table can exist with a given value for OpClass.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.Capabilities.","object","R","This object represents the capabilities of the radio which may be different from the current operational configuration.","-","2.13"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.Capabilities.WiFi6APRole.","object","R","Describes the Wi-Fi 6 capabilities for the AP role.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.Capabilities.WiFi6bSTARole.","object","R","Describes the Wi-Fi 6 capabilities for the backhaul Station (bSTA) role.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.Capabilities.AKMFrontHaul.{i}.","object(0:)","R","Authentication and Key Management (AKM) Suite (security mode) capabilities for the fronthaul BSS.
At most one entry in this table can exist with a given value for OUI.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.Capabilities.AKMBackhaul.{i}.","object(0:)","R","Authentication and Key Management (AKM) Suite (security mode) capabilities for the backhaul BSS.
At most one entry in this table can exist with a given value for OUI.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.Capabilities.CapableOperatingClassProfile.{i}.","object(0:)","R","Describes one of the possible Operating Classes supported by this Radio.
At most one entry in this table can exist with a given value for Class.","-","2.13"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.CurrentOperatingClassProfile.{i}.","object(0:)","R","Describes one of the current Operating Classes in use by this Radio. One Operating Class is indicated for each current Operating Channel Bandwidth.
The Channel indicated for the 20 MHz Operating Class is equal to the current primary channel.
At most one entry in this table can exist with a given value for Class.","-","2.13"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.DisAllowedOpClassChannels.{i}.","object(0:)","W","The operating classes, and list of channels for each operating class, which are not allowed to be used on this radio.
At most one entry in this table can exist with a given value for OpClass. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for OpClass such that the new entry does not conflict with any existing entries.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.SpatialReuse.","object","R","The spatial reuse configuration of this radio. Applies only to Wi-Fi 6 [802.11ax] and possibly later generations of radios.
Acronyms: Spatial Reuse Group (SRG), Overlapping Basic Service Set (OBSS), Preamble Detection (PD).","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.","object(1:)","R","A single logical BSS operating on this radio.
This table MUST contain at least 1 entry.
At most one entry in this table can exist with a given value for BSSID.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.QMDescriptor.{i}.","object(0:)","R","This object contains a table of DescriptorElement.
At most one entry in this table can exist with a given value for ClientMAC.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.MultiAPSteering.","object","R","A single logical Access Point operating on this radio.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.","object(0:)","R","Object describing a single Associated Device (STA).
At most one entry in this table can exist with a given value for MACAddress.","-","2.13"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.MultiAPSTA.","object","R","The summary of statistics and operations for an individual STA on the Wi-Fi network.
The counters contained in Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.MultiAPSTA. are all reset on reboot.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.MultiAPSTA.SteeringSummaryStats.","object","R","The summary of statistics related to Multi-AP Steering for this STA on the Wi-Fi network.
The counters contained in Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.MultiAPSTA.SteeringSummaryStats. are all reset on reboot.","-","2.0"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.MultiAPSTA.SteeringHistory.{i}.","object(0:)","R","The history of Multi-AP Steering for this STA on the Wi-Fi network.
The contents of this multi-instance object are reset on reboot.
At most one entry in this table can exist with the same values for all of Time, APOrigin and APDestination.","-","2.0"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.WiFi6Capabilities.","object","R","Describes the Wi-Fi 6 capabilities of the Associated Device (STA).","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.BSS.{i}.STA.{i}.TIDQueueSizes.{i}.","object(0:)","R","Object describing Traffic Identifiers (TIDs), and Queue Size for each TID, for this Associated Device (STA).
At most one entry in this table can exist with a given value for TID.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.MultiAPRadio.","object","R","This object represents an individual Access Point Radio in the Wi-Fi network.","-","2.15"
"Device.WiFi.DataElements.Network.Device.{i}.Radio.{i}.UnassociatedSTA.{i}.","object(0:)","R","Each instance represents a Non-AP STA that has been discovered by the Radio but is not associated to any of the BSS operating on the Radio.
At most one entry in this table can exist with a given value for MACAddress.","-","2.13"
"Device.WiFi.DataElements.AssociationEvent.","object","R","This object contains the events generated when a STA associates to a BSS.","-","2.13"
"Device.WiFi.DataElements.AssociationEvent.AssociationEventData.{i}.","object(0:)","R","The events generated when an Associated Device (STA) associates to a BSS.","-","2.13"
"Device.WiFi.DataElements.AssociationEvent.AssociationEventData.{i}.WiFi6Capabilities.","object","R","Describes the Wi-Fi 6 capabilities of the Associated Device (STA).","-","2.15"
"Device.WiFi.DataElements.DisassociationEvent.","object","R","This object contains the events generated when an Associated Device (STA) disassociates from a BSS.","-","2.13"
"Device.WiFi.DataElements.DisassociationEvent.DisassociationEventData.{i}.","object(0:)","R","The events generated when an Associated Device (STA) disassociates from a BSS.","-","2.13"
"Device.WiFi.DataElements.FailedConnectionEvent.","object","R","This object contains the events generated when a Station (STA) fails to connect to a Basic Service Set (BSS).","-","2.15"
"Device.WiFi.DataElements.FailedConnectionEvent.FailedConnectionEventData.{i}.","object(0:)","R","This object describes the data provided with a failed connection event","-","2.0"
"Device.WiFi.Radio.{i}.","object(0:)","R","This object models an 802.11 wireless radio on a device (a stackable interface object as described in [Section 4.2/TR-181i2]).
If the device can establish more than one connection simultaneously (e.g. a dual radio device), a separate Device.WiFi.Radio.{i}. instance MUST be used for each physical radio of the device. See [Appendix III.1/TR-181i2] for additional information.
Note: A dual-band single-radio device (e.g. an 802.11a/b/g radio) can be configured to operate at 2.4 or 5 GHz frequency bands, but only a single frequency band is used to transmit/receive at a given time. Therefore, a single Device.WiFi.Radio.{i}. instance is used even for a dual-band radio.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.WiFi.Radio.{i}.Stats.","object","R","Throughput statistics for this interface. Packet counters here count 802.11 WiFi frames. See [Appendix III/TR-181i2] for further details. The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.WiFi.SSID.{i}.","object(0:)","W","WiFi SSID table (a stackable interface object as described in [Section 4.2/TR-181i2]), where table entries model the MAC layer. A WiFi SSID entry is typically stacked on top of a Radio object.
WiFi SSID is also a multiplexing layer, i.e. more than one Device.WiFi.SSID.{i}. can be stacked above a single Radio.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name, or with a given value for BSSID. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias, Name and BSSID such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.WiFi.SSID.{i}.Stats.","object","R","Throughput statistics for this interface. Packet counters here count 802.11 WiFi frames. See [Appendix III/TR-181i2] for further details. The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.WiFi.AccessPoint.{i}.","object(0:)","W","This object models an 802.11 connection from the perspective of a wireless access point. Each Device.WiFi.AccessPoint.{i}. entry is associated with a particular SSID interface instance via the SSIDReference parameter.
For enabled table entries, if SSIDReference is not a valid reference then the table entry is inoperable and the CPE MUST set Status to Error_Misconfigured.
Note: The Device.WiFi.AccessPoint.{i}. table includes a unique key parameter that is a strong reference. If a strongly referenced object is deleted, the CPE will set the referencing parameter to an empty string. However, doing so under these circumstances might cause the updated Device.WiFi.AccessPoint.{i}. row to then violate the table’s unique key constraint; if this occurs, the CPE MUST set Status to Error_Misconfigured and disable the offending Device.WiFi.AccessPoint.{i}. row.
At most one entry in this table can exist with a given value for Alias, or with a given value for SSIDReference. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.WiFi.AccessPoint.{i}.Security.","object","R","This object contains security related parameters that apply to a CPE acting as an Access Point [802.11-2007].","-","2.0"
"Device.WiFi.AccessPoint.{i}.WPS.","object","R","{{div: unexpected arguments <[‘WPSv2.0’]> (after <[classes()] [‘This object contains parameters related to Wi-Fi Protected Setup for’, nl(), ’this access point (as specified in ‘, bibref([‘WPSv1.0’]), ’ or’, nl(), ‘{bibref’]>)}}).}}","-","2.0"
"Device.WiFi.AccessPoint.{i}.AssociatedDevice.{i}.","object(0:)","R","A table of the devices currently associated with the access point.
At most one entry in this table can exist with a given value for MACAddress.","-","2.0"
"Device.WiFi.AccessPoint.{i}.AssociatedDevice.{i}.Stats.","object","R","These count bytes or packets sent to, or received from, this Associated Device, which is a WiFi station associated to this access point. Packet counters here count 802.11 WiFi frames.
The CPE MUST reset these Device.WiFi.AccessPoint.{i}.AssociatedDevice.{i}.Stats. parameters (unless otherwise stated in individual object or parameter descriptions) either when the Status of the parent object transitions from Disabled to Enabled, or when it transitions from Enabled to Disabled.","-","2.8"
"Device.WiFi.AccessPoint.{i}.AC.{i}.","object(4:4)","R","This object contains parameters related to WiFi QoS for different 802.11e access categories (priorities). Access categories are: BE, BK, VI, and VO. These parameters can help control and monitor 802.11e Enhanced distributed channel access (EDCA). The size of this table is fixed, with four entries which are identified by the AccessCategory parameter as follows:
BE (Best Effort)
BK (Background)
VI (Video)
VO (Voice)
This table MUST contain exactly 4 entries.
At most one entry in this table can exist with a given value for AccessCategory.","-","2.8"
"Device.WiFi.AccessPoint.{i}.AC.{i}.Stats.","object","R","This object contains statistics for different 802.11e access categories (priorities).
Packet counters here count 802.11 WiFi frames.
If there are not separate stats for each access category, (e.g., 802.11e is not used and there is only one queue), then only access category 0 = BE applies (e.g., the statistics for the single queue are in access category 0 = BE).
The CPE MUST reset the Access Point’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the Access Point becomes operationally down due to a previous administrative down (i.e. the Access Point’s Status parameter transitions to a Disabled state) or when the Access Point becomes administratively up (i.e. the Access Point’s Enable parameter transitions from false to true). Administrative and operational status is discussed in [Section 4.2.2/TR-181i2].","-","2.8"
"Device.WiFi.AccessPoint.{i}.Accounting.","object","R","This object contains the parameters related to RADIUS accounting functionality for the access point.","-","2.5"
"Device.WiFi.EndPoint.{i}.","object(0:)","W","This object models an 802.11 connection from the perspective of a wireless end point. Each Device.WiFi.EndPoint.{i}. entry is associated with a particular SSID interface instance via the SSIDReference parameter, and an associated active Profile instance via the ProfileReference parameter. The active profile is responsible for specifying the actual SSID and security settings used by the end point.
For enabled table entries, if SSIDReference or ProfileReference is not a valid reference then the table entry is inoperable and the CPE MUST set Status to Error_Misconfigured.
Note: The Device.WiFi.EndPoint.{i}. table includes a unique key parameter that is a strong reference. If a strongly referenced object is deleted, the CPE will set the referencing parameter to an empty string. However, doing so under these circumstances might cause the updated Device.WiFi.EndPoint.{i}. row to then violate the table’s unique key constraint; if this occurs, the CPE MUST set Status to Error_Misconfigured and disable the offending Device.WiFi.EndPoint.{i}. row.
At most one entry in this table can exist with a given value for Alias, or with a given value for SSIDReference. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.WiFi.EndPoint.{i}.Stats.","object","R","Throughput statistics for this end point.","-","2.0"
"Device.WiFi.EndPoint.{i}.Security.","object","R","This object contains security related parameters that apply to a WiFi end point [802.11-2007].","-","2.0"
"Device.WiFi.EndPoint.{i}.Profile.{i}.","object(0:)","W","EndPoint Profile table.
At most one entry in this table can exist with a given value for Alias, or with the same values for all of SSID, Location and Priority. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias, SSID and Location such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.WiFi.EndPoint.{i}.Profile.{i}.Security.","object","R","This object contains security related parameters that apply to a WiFi End Point profile [802.11-2007].","-","2.0"
"Device.WiFi.EndPoint.{i}.WPS.","object","R","This object contains parameters related to Wi-Fi Protected Setup [WPSv1.0] for this end point.","-","2.0"
"Device.WiFi.EndPoint.{i}.AC.{i}.","object(4:4)","R","This object contains parameters related to WiFi QoS for different 802.11e access categories (priorities). Access categories are: BE, BK, VI, and VO. These parameters can help control and monitor 802.11e Enhanced distributed channel access (EDCA). The size of this table is fixed, with four entries which are identified by the AccessCategory parameter as follows:
BE (Best Effort)
BK (Background)
VI (Video)
VO (Voice)
This table MUST contain exactly 4 entries.
At most one entry in this table can exist with a given value for AccessCategory.","-","2.8"
"Device.WiFi.EndPoint.{i}.AC.{i}.Stats.","object","R","This object contains statistics for different 802.11e access categories (priorities).
Packet counters here count 802.11 WiFi frames.
If there are not separate stats for each access category, (e.g., 802.11e is not used and there is only one queue), then only access category 0 = BE applies (e.g., the statistics for the single queue are in access category 0 = BE).
The CPE MUST reset the EndPoint’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the EndPoint becomes operationally down due to a previous administrative down (i.e. the EndPoint’s Status parameter transitions to a Disabled state) or when the EndPoint becomes administratively up (i.e. the EndPoint’s Enable parameter transitions from false to true). Administrative and operational status is discussed in [Section 4.2.2/TR-181i2].","-","2.8"
"Device.ZigBee.","object","R","Top level object for ZigBee capabilities based on the [ZigBee2007] specification.","-","2.7"
"Device.ZigBee.Interface.{i}.","object(0:)","R","ZigBee interface table (a stackable interface object as described in [Section 4.2/TR-181i2]). This table models the ZigBee interface of a ZigBee end device, ZigBee router or ZigBee coordinator.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name, or with a given value for ZDOReference.","-","2.7"
"Device.ZigBee.Interface.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.7"
"Device.ZigBee.Interface.{i}.AssociatedDevice.{i}.","object(0:)","R","This table provides information about other ZigBee devices that are directly accessible via this interface.
At most one entry in this table can exist with the same values for both IEEEAddress and NetworkAddress.
It is possible that instances of this object have the same key value when the value of IEEEAddress parameter is “FF:FF:FF:FF:FF:FF:FF:FF” and the ZigBee Coordinators on two or more separate area networks assign the same value for the NetworkAddress. This is because the ZigBee specification describes only intra-area network topologies [Section 1.1.4 Network Topology/ZigBee2007]. As such if two or more Device.ZigBee.Interface.{i}.AssociatedDevice.{i}. instances have the same key value the implemenation is undefined.","-","2.7"
"Device.ZigBee.ZDO.{i}.","object(0:)","R","ZigBee Device Object (ZDO) provides management capabilities of the ZigBee Application Support (APS) and Network (NWK) layers of a ZigBee Device as defined in [Section 2.5/ZigBee2007].
At most one entry in this table can exist with the same values for both IEEEAddress and NetworkAddress.
It is possible that instances of this object have the same key value when the value of IEEEAddress parameter is “FF:FF:FF:FF:FF:FF:FF:FF” and the ZigBee Coordinators on two or more separate area networks assign the same value for the NetworkAddress. This is because the ZigBee specification describes only intra-area network topologies [Section 1.1.4 Network Topology/ZigBee2007]. As such if two or more Device.ZigBee.ZDO.{i}. instances have the same key value the implemenation is undefined","-","2.7"
"Device.ZigBee.ZDO.{i}.NodeDescriptor.","object","R","The Device.ZigBee.ZDO.{i}.NodeDescriptor. object describes the node capabilities of the ZigBee device as defined in [Section 2.3.2.3 Node Descriptor/ZigBee2007].","-","2.7"
"Device.ZigBee.ZDO.{i}.PowerDescriptor.","object","R","The Device.ZigBee.ZDO.{i}.PowerDescriptor. object describes the power capabilities of the ZigBee device as defined in [Section 2.3.2.4 Node Power Descriptor/ZigBee2007].","-","2.7"
"Device.ZigBee.ZDO.{i}.UserDescriptor.","object","R","The Device.ZigBee.ZDO.{i}.UserDescriptor. object is an optional descriptor that describes user defined capabilities of the ZigBee device as defined in [Section 2.3.2.7 User Descriptor/ZigBee2007]. The Device.ZigBee.ZDO.{i}.UserDescriptor. object contains information that allows the user to identify the device using a user-friendly character string, such as “Bedroom TV” or “Stairs Light”.","-","2.7"
"Device.ZigBee.ZDO.{i}.ComplexDescriptor.","object","R","The Device.ZigBee.ZDO.{i}.ComplexDescriptor. object is an optional descriptor that describes extended capabilities of the ZigBee device as defined in [Section 2.3.2.6 Complex Descriptor/ZigBee2007].","-","2.7"
"Device.ZigBee.ZDO.{i}.Security.","object","R","The Device.ZigBee.ZDO.{i}.Security. object provides the configuration capabilities needed to perform the Security Management functionality defined in [Section 4 Security Management/ZigBee2007].","-","2.7"
"Device.ZigBee.ZDO.{i}.Network.","object","R","The Device.ZigBee.ZDO.{i}.Network. object provides the configuration capabilities needed to by a ZigBee Device to operate within a ZigBee Area Network as defined in [Section 2.5.2.4 Network Manager/ZigBee2007].","-","2.7"
"Device.ZigBee.ZDO.{i}.Network.Neighbor.{i}.","object(0:)","R","The Device.ZigBee.ZDO.{i}.Network.Neighbor.{i}. object provides the configuration capabilities needed to by a ZigBee Device to operate within a ZigBee Area Network as defined in [Section 2.5.2.4 Network Manager/ZigBee2007].
At most one entry in this table can exist with a given value for Neighbor.","-","2.7"
"Device.ZigBee.ZDO.{i}.NodeManager.","object","R","The Device.ZigBee.ZDO.{i}.NodeManager. object describes the configuration capabilities related for remote management of the ZigBee Area Network as defined in [Section 2.5.2.6 Node Manager/ZigBee2007].","-","2.7"
"Device.ZigBee.ZDO.{i}.NodeManager.RoutingTable.{i}.","object(0:)","R","The Device.ZigBee.ZDO.{i}.NodeManager.RoutingTable.{i}. object describes the route table as defined in [Table 3.51 Routing Table Entry/ZigBee2007].
At most one entry in this table can exist with a given value for DestinationAddress.","-","2.7"
"Device.ZigBee.ZDO.{i}.Binding.{i}.","object(0:)","W","The Device.ZigBee.ZDO.{i}.Binding.{i}. object describes the configuration capabilities related to maintaining a ZigBee Device’s Binding Table as defined in [Section 2.2.8.2 Binding/ZigBee2007].
At most one entry in this table can exist with a given value for Alias. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.7"
"Device.ZigBee.ZDO.{i}.Group.{i}.","object(0:)","W","The Device.ZigBee.ZDO.{i}.Group.{i}. object describes the configuration capabilities related to maintaining a ZigBee Device’s Group Table as defined in [Section 2.5.2.7 Group Manager/ZigBee2007].
At most one entry in this table can exist with a given value for GroupId, or with a given value for Alias. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for GroupId and Alias such that the new entry does not conflict with any existing entries.","-","2.7"
"Device.ZigBee.ZDO.{i}.ApplicationEndpoint.{i}.","object(0:)","W","The Device.ZigBee.ZDO.{i}.ApplicationEndpoint.{i}. object describes the application endpoint as defined in [Section 2.1.2 Application Framework/ZigBee2007].
At most one entry in this table can exist with a given value for EndpointId, or with a given value for Alias. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for EndpointId and Alias such that the new entry does not conflict with any existing entries.","-","2.7"
"Device.ZigBee.ZDO.{i}.ApplicationEndpoint.{i}.SimpleDescriptor.","object","R","The Device.ZigBee.ZDO.{i}.ApplicationEndpoint.{i}.SimpleDescriptor. object contains the attributes of the Simple Descriptor of an application endpoint, as defined in [Section 2.3.2.5 Simple Descriptor/ZigBee2007].","-","2.7"
"Device.ZigBee.Discovery.","object","R","This object is used for managing the discovery of ZigBee devices within a ZigBee Area Network. ZigBee Devices are discovered via the ZDO instance associated with the ZigBee Coordinator of an Area Network.","-","2.7"
"Device.ZigBee.Discovery.AreaNetwork.{i}.","object(0:)","W","This object specifies the ZigBee devices that are discovered by the Coordinator.
As the ZigBee specification does not provide a discovery protocol between the CWMP proxy and the ZigBee coordinator, the Device.ZigBee.Discovery.AreaNetwork.{i}. object is provisioned and not discovered.
At most one entry in this table can exist with a given value for Alias, or with a given value for Coordinator. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias and Coordinator such that the new entry does not conflict with any existing entries.","-","2.7"
"Device.Bridging.","object","R","Layer 2 bridging configuration. Specifies bridges between different layer 2 interfaces. Bridges can be defined to include layer 2 filter criteria to selectively bridge traffic between interfaces.
This object can be used to configure both 802.1D [802.1D-2004] and 802.1Q [802.1Q-2011] bridges.
Not all 802.1D and 802.1Q features are modeled, and some additional features not present in either 802.1D or 802.1Q are modeled.
802.1Q [802.1Q-2011] bridges incorporate 802.1Q [802.1Q-2005] customer and 802.1ad [802.1ad-2005] provider bridges.","-","2.0"
"Device.Bridging.Bridge.{i}.","object(0:)","W","Bridge table.
At most one entry in this table can exist with a given value for Alias. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.Bridging.Bridge.{i}.Port.{i}.","object(0:)","W","Bridge Port table, which MUST contain an entry for each bridge port (a stackable interface object as described in [Section 4.2/TR-181i2]).
There are two types of bridge ports: management (upward facing) and non-management (downward facing). This is determined by configuring the Boolean ManagementPort parameter. The CPE will automatically configure each management bridge port to appear in the interface stack above all non-management bridge ports that share the same Bridge instance.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias and Name such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.Bridging.Bridge.{i}.Port.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.Bridging.Bridge.{i}.Port.{i}.PriorityCodePoint.","object","R","Device.Bridging.Bridge.{i}.Port.{i}.PriorityCodePoint. provides the management control for the processing of the Priority Code Point (PCP) field for the 802.1Q header as defined in [Section 6.9.3 Priority Code Point Encoding/802.1Q-2011].
The object is applicable to deployments of Bridging.ProviderBridge where the Bridge instance is referenced by Bridging.ProviderBridge.{i}.SVLANcomponent or Bridging.ProviderBridge.{i}.CVLANcomponents parameters.","-","2.7"
"Device.Bridging.Bridge.{i}.VLAN.{i}.","object(0:)","W","Bridge VLAN table. If this table is supported, if MUST contain an entry for each VLAN known to the Bridge.
This table only applies to an 802.1Q [802.1Q-2011] Bridge.
At most one entry in this table can exist with a given value for Alias, or with a given value for VLANID. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias and VLANID such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.Bridging.Bridge.{i}.VLANPort.{i}.","object(0:)","W","Bridge VLAN egress port and untagged port membership table.
This table only applies to an 802.1Q [802.1Q-2011] Bridge.
Note: The Device.Bridging.Bridge.{i}.VLANPort.{i}. table includes unique key parameters that are strong references. If a strongly referenced object is deleted, the CPE will set the referencing parameter to an empty string. However, doing so under these circumstances might cause the updated Device.Bridging.Bridge.{i}.VLANPort.{i}. row to then violate the table’s unique key constraint; if this occurs, the CPE MUST disable the offending Device.Bridging.Bridge.{i}.VLANPort.{i}. row.
At most one entry in this table can exist with a given value for Alias, or with the same values for both VLAN and Port. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.Bridging.Filter.{i}.","object(0:)","W","Filter table containing classification filter entries, each of which expresses a set of classification criterion to classify ingress frames as member of a Bridge instance or a Bridge.{i}.VLAN instance.
Bridge VLAN classification only applies for 802.1Q [802.1Q-2011] Bridges.
For enabled table entries, if Bridge or Interface is an empty string then the table entry is inoperable and the CPE MUST set Status to Error_Misconfigured.
Several of this object’s parameters specify DHCP option values. Some cases are version neutral (the parameter can apply to both DHCPv4 and DHCPv6), but in other cases the representation of the option is different for DHCPv4 and DHCPv6, so it is necessary to define separate DHCPv4-specific and DHCPv6-specific parameters. Therefore, an instance of this object that uses DHCP option values as filter criteria will be associated with either DHCPv4 or DHCPv6, as indicated by the DHCPType parameter.
At most one entry in this table can exist with a given value for Alias. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.Bridging.ProviderBridge.{i}.","object(0:)","W","Provider Bridge table.
A Provider Bridge is described in [Section 5.10 Provider Bridge conformance/802.1Q-2011] as an entity that is comprised of one S-VLAN component and zero or more C-VLAN components. S-VLAN and C-VLAN components are modelled as instances of Bridge objects.
When Type is configured with value of PE VLAN tags from the S-VLAN component (outer of 2 VLAN tags) are stacked on top of the VLAN tag from the C-VLAN component (inner of 2 VLAN tags).
When Type is configured with value of S-VLAN only VLAN tags from the S-VLAN component are utilized.
At most one entry in this table can exist with a given value for Alias. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.7"
"Device.PPP.","object","R","Point-to-Point Protocol [RFC1661]. This object contains the Interface table.","-","2.0"
"Device.PPP.Interface.{i}.","object(0:)","W","PPP interface table (a stackable interface object as described in [Section 4.2/TR-181i2]).
At most one entry in this table can exist with a given value for Alias, or with a given value for Name. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias and Name such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.PPP.Interface.{i}.PPPoE.","object(0:1)","R","PPPoE object that functionally groups PPPoE related parameters.
PPPoE is only applicable when the lower layer provides Ethernet frames, e.g. ATM with EoA, PTM, or anything else that supports an Ethernet MAC.
This object is a member of a union, i.e., it is a member of a group of objects of which only one can exist at a given time.","-","2.0"
"Device.PPP.Interface.{i}.IPCP.","object","R","IP Control Protocol (IPCP) client object for this PPP interface [RFC1332]. Device.PPP.Interface.{i}.IPCP. only applies to IPv4.","-","2.0"
"Device.PPP.Interface.{i}.IPv6CP.","object","R","IPv6 Control Protocol (IPv6CP) client object for this PPP interface [RFC5072]. Device.PPP.Interface.{i}.IPv6CP. only applies to IPv6.","-","2.2"
